gra_year;title;distributor;producer;gra_winner
1986;Shanghai Surprise;MGM;John Kohn;
1987;Leonard Part 6;Columbia Pictures;Bill Cosby;WINNER
1987;Ishtar;Columbia Pictures;Warren Beatty;
1987;Jaws: The Revenge;Universal Studios;Joseph Sargent;
1987;Tough Guys Don't Dance;Cannon Films;Yoram Globus, Menahem Golan;
1987;Who's That Girl;Warner Bros.;Rosilyn Heller, Bernard Williams;
1988;Cocktail;Touchstone Pictures;Ted Field, Robert W. Cort;WINNER
1988;Caddyshack II;Warner Bros.;Neil Canton, Jon Peters, Peter Guber;
1988;Hot to Trot;;Steve Tisch;
1988;Mac and Me;Orion Pictures;R. J. Louis;
1988;Rambo III;TriStar Pictures, Carolco Pictures;Buzz Feitshans;
1989;Star Trek V: The Final Frontier;Paramount Pictures;Harve Bennett;WINNER
1989;The Karate Kid Part III;Columbia Pictures;Jerry Weintraub;
1989;Lock Up;TriStar Pictures, Carolco Pictures;Charles Gordon, Lawrence Gordon;
1989;Road House;United Artists;Joel Silver;
1989;Speed Zone;Orion Pictures;Murray Shostack;
1990;The Adventures of Ford Fairlane;20th Century Fox;Steven Perry, Joel Silver;WINNER
1990;Ghosts Can't Do It;Triumph Releasing;Bo Derek;WINNER
1990;The Bonfire of the Vanities;Warner Bros.;Brian De Palma;
1990;Graffiti Bridge;;Randy Phillips, Craig Rice;
1990;Rocky V;United Artists;Irwin Winkler, Robert Chartoff;
1991;Hudson Hawk;TriStar Pictures;Joel Silver;WINNER
1991;Cool as Ice;Universal Studios;Carolyn Pfeiffer, Lionel Wigram;
1991;Dice Rules;Seven Arts Productions;Loucas George;
1991;Nothing but Trouble;Warner Bros.;Lester Berman, Robert K. Weiss;
1991;Return to the Blue Lagoon;Columbia Pictures;William Graham;
1992;Shining Through;20th Century Fox;Carol Baum, Howard Rosenman;WINNER
1992;The Bodyguard;Warner Bros.;Kevin Costner, Lawrence Kasdan, Jim Wilson;
1992;Christopher Columbus: The Discovery;;Alexander Salkind, Ilya Salkind;
1992;Final Analysis;;Paul Junger Witt, Charles Roven, Tony Thomas;
1992;Newsies;Walt Disney Pictures;Michael Finnell;
1993;Indecent Proposal;Paramount Pictures;Sherry Lansing;WINNER
1993;Body of Evidence;MGM, United Artists;Dino De Laurentiis;
1993;Cliffhanger;TriStar Pictures, Carolco Pictures;Renny Harlin, Alan Marshall;
1993;Last Action Hero;Columbia Pictures;John McTiernan, Stephen J. Roth;
1993;Sliver;Paramount Pictures;Robert Evans;
1994;Color of Night;Hollywood Pictures;Buzz Feitshans, David Matalon;WINNER
1994;North;Columbia Pictures, Castle Rock;Rob Reiner, Alan Zweibel;
1994;On Deadly Ground;Warner Bros.;A. Kitman Ho, Julius R. Nasso, Steven Seagal;
1994;The Specialist;;Jerry Weintraub;
1994;Wyatt Earp;;Kevin Costner, Lawrence Kasdan, Jim Wilson;
1995;Showgirls;MGM, United Artists;Charles Evans, Alan Marshall;WINNER
1995;Congo;Paramount Pictures;Kathleen Kennedy, Sam Mercer;
1995;It's Pat;Touchstone Pictures;Charles B. Wessler;
1995;The Scarlet Letter;Hollywood Pictures;Roland Joffé, Andrew G. Vajna;
